iter	Passed	Remaining
623	1053	634
624	1054	632
625	1055	630
626	1056	628
627	1057	626
628	1058	624
629	1059	622
630	1060	620
631	1062	618
632	1064	617
633	1066	615
634	1067	613
635	1068	611
636	1069	609
637	1071	607
638	1072	605
639	1073	603
640	1074	601
641	1075	599
642	1077	598
643	1079	596
644	1081	595
645	1082	593
646	1083	591
647	1085	589
648	1086	587
649	1087	585
650	1088	583
651	1090	581
652	1091	580
653	1093	578
654	1095	577
655	1097	575
656	1102	575
657	1105	574
658	1109	574
659	1112	573
660	1113	571
661	1115	569
662	1116	567
663	1118	565
664	1120	564
665	1123	563
666	1125	562
667	1127	560
668	1128	558
669	1130	556
670	1131	554
671	1132	553
672	1136	552
673	1139	550
674	1141	549
675	1142	547
676	1143	545
677	1144	543
678	1145	541
679	1146	539
680	1148	537
681	1150	536
682	1153	535
683	1155	533
684	1156	531
685	1158	530
686	1159	528
687	1161	526
688	1162	524
689	1165	523
690	1166	521
691	1168	520
692	1170	518
693	1171	516
694	1172	514
695	1173	512
696	1175	510
697	1176	509
698	1177	507
699	1179	505
700	1181	504
701	1183	502
702	1185	500
703	1186	498
704	1187	496
705	1188	494
706	1189	492
707	1190	491
708	1191	489
709	1193	487
710	1194	485
711	1196	483
712	1197	482
713	1198	480
714	1199	478
715	1200	476
716	1202	474
717	1203	472
718	1204	470
719	1205	468
720	1206	466
721	1207	464
722	1209	463
723	1210	461
724	1212	459
725	1213	457
726	1214	456
727	1215	454
728	1216	452
729	1217	450
730	1219	448
731	1220	446
732	1221	444
733	1222	443
734	1224	441
735	1226	439
736	1227	438
737	1228	436
738	1229	434
739	1231	432
740	1232	430
741	1233	428
742	1234	426
743	1235	425
744	1236	423
745	1238	421
746	1240	420
747	1241	418
748	1243	416
749	1244	414
750	1245	413
751	1246	411
752	1248	409
753	1248	407
754	1250	405
755	1251	403
756	1252	402
757	1254	400
758	1256	398
759	1257	397
760	1258	395
761	1259	393
762	1261	391
763	1262	389
764	1263	388
765	1264	386
766	1265	384
767	1266	382
768	1268	380
769	1269	379
770	1270	377
771	1272	375
772	1273	373
773	1274	372
774	1275	370
775	1276	368
776	1277	366
777	1278	364
778	1279	362
779	1280	361
780	1282	359
781	1283	357
782	1285	356
783	1286	354
784	1287	352
785	1288	350
786	1289	349
787	1291	347
788	1292	345
789	1293	343
790	1294	341
791	1295	340
792	1297	338
793	1299	337
794	1300	335
795	1301	333
796	1303	331
797	1304	330
798	1305	328
799	1306	326
800	1307	324
801	1308	323
802	1309	321
803	1311	319
804	1312	318
805	1314	316
806	1316	314
807	1317	313
808	1318	311
809	1319	309
810	1320	307
811	1321	306
812	1323	304
813	1324	302
814	1325	300
815	1326	299
816	1328	297
817	1330	295
818	1331	294
819	1332	292
820	1333	290
821	1334	288
822	1335	287
823	1336	285
824	1337	283
825	1338	282
826	1339	280
827	1341	278
828	1343	277
829	1344	275
830	1346	273
831	1347	272
832	1348	270
833	1349	268
834	1350	266
835	1351	265
836	1352	263
837	1353	261
838	1354	259
839	1356	258
840	1358	256
841	1359	255
842	1360	253
843	1362	251
844	1363	250
845	1364	248
846	1365	246
847	1366	245
848	1367	243
849	1369	241
850	1370	240
851	1372	238
852	1374	236
853	1375	235
854	1376	233
855	1377	231
856	1378	230
857	1379	228
858	1380	226
859	1381	224
860	1382	223
861	1383	221
862	1385	219
863	1387	218
864	1388	216
865	1389	215
866	1390	213
867	1391	211
868	1392	209
869	1394	208
870	1395	206
871	1396	204
872	1397	203
873	1398	201
874	1400	200
875	1401	198
876	1403	196
877	1404	195
878	1405	193
879	1406	191
880	1407	190
881	1408	188
882	1409	186
883	1411	185
884	1412	183
885	1413	181
886	1414	180
887	1416	178
888	1417	177
889	1418	175
890	1419	173
891	1420	172
892	1422	170
893	1423	168
894	1424	167
895	1425	165
896	1426	163
897	1427	162
898	1429	160
899	1431	159
900	1432	157
901	1433	155
902	1434	154
903	1435	152
904	1437	150
905	1438	149
906	1440	147
907	1441	146
908	1442	144
909	1444	142
910	1446	141
911	1447	139
912	1448	138
913	1449	136
914	1451	134
915	1452	133
916	1453	131
917	1454	129
918	1455	128
919	1458	126
920	1460	125
921	1461	123
922	1462	122
923	1464	120
924	1465	118
925	1466	117
926	1467	115
927	1468	113
928	1469	112
929	1470	110
930	1471	109
931	1473	107
932	1475	105
933	1476	104
934	1477	102
935	1478	101
936	1479	99
937	1480	97
938	1481	96
939	1482	94
940	1483	93
941	1485	91
942	1486	89
943	1488	88
944	1489	86
945	1490	85
946	1491	83
947	1492	81
948	1493	80
949	1494	78
950	1496	77
951	1497	75
952	1498	73
953	1499	72
954	1500	70
955	1501	69
956	1503	67
957	1504	65
958	1506	64
959	1507	62
960	1508	61
961	1509	59
962	1510	58
963	1511	56
964	1513	54
965	1514	53
966	1515	51
967	1516	50
968	1518	48
969	1519	47
970	1520	45
971	1522	43
972	1523	42
973	1524	40
974	1525	39
975	1526	37
976	1527	35
977	1528	34
978	1529	32
979	1530	31
980	1532	29
981	1534	28
982	1535	26
983	1536	24
984	1537	23
985	1539	21
986	1540	20
987	1541	18
988	1542	17
989	1543	15
990	1544	14
991	1545	12
992	1547	10
993	1549	9
994	1550	7
995	1551	6
996	1553	4
997	1554	3
998	1555	1
999	1556	0
